gid,name,year,winter_sst,spring_sst,summer_sst,fall_sst
9,Roanoke,2003,9.91666666666667,15.4166666666667,23.4166666666667,17.25
9,Roanoke,2004,9.75,16.3333333333333,22.9166666666667,15
9,Roanoke,2005,9,14.6666666666667,23.4166666666667,16
9,Roanoke,2006,10,15.9166666666667,23.5,16.25
9,Roanoke,2007,13.5,15.5,23.75,16.5
9,Roanoke,2008,12,16.5,23.0833333333333,14.9166666666667
9,Roanoke,2009,11.0833333333333,16.9166666666667,22.4166666666667,16.6666666666667
9,Roanoke,2010,8.33333333333333,16.6666666666667,23.1666666666667,14.8333333333333
10,Savannah,1900,12.25,17.9166666666667,21.75,16
10,Savannah,1901,12.1666666666667,17.6666666666667,21.25,14.4166666666667
10,Savannah,1902,11.1666666666667,18.25,21.0833333333333,16.75
10,Savannah,1903,12.4166666666667,17.6666666666667,21.3333333333333,15.25
10,Savannah,1904,11.75,17.9166666666667,21.1666666666667,14.8333333333333
10,Savannah,1905,11.4166666666667,18.8333333333333,21.3333333333333,15.5833333333333
10,Savannah,1906,12.75,17.9166666666667,21.0833333333333,15.1666666666667
10,Savannah,1907,13.6666666666667,18.0833333333333,21.25,15.5833333333333
10,Savannah,1908,12.1666666666667,18.9166666666667,21.5,15.1666666666667
10,Savannah,1909,13.1666666666667,18.4166666666667,21.5833333333333,15.3333333333333
10,Savannah,1910,12.4166666666667,18.5,21.0833333333333,15.25
10,Savannah,1911,14,18.25,21.25,16.3333333333333
10,Savannah,1912,12.6666666666667,18.75,22,15.8333333333333
10,Savannah,1913,13.5,17.8333333333333,21.1666666666667,15.5
10,Savannah,1914,11.8333333333333,17.9166666666667,21.1666666666667,16.3333333333333
10,Savannah,1915,12.3333333333333,18.25,21.75,16.8333333333333
10,Savannah,1916,13.5,18.4166666666667,21.5,15.9166666666667
10,Savannah,1917,13,18.1666666666667,21,15.1666666666667
10,Savannah,1918,12.6666666666667,18.5,21.3333333333333,16.1666666666667
10,Savannah,1919,12.5,18.25,21,16.9166666666667
10,Savannah,1920,11.8333333333333,18.25,21.3333333333333,15.6666666666667
10,Savannah,1921,14.0833333333333,18.75,21.25,16.6666666666667
10,Savannah,1922,13.3333333333333,19.1666666666667,21.0833333333333,16.6666666666667
10,Savannah,1923,14.1666666666667,18.8333333333333,21.1666666666667,15.75
10,Savannah,1924,12.0833333333333,18.6666666666667,21.8333333333333,15.9166666666667
10,Savannah,1925,13.9166666666667,18.75,21.5833333333333,16.5833333333333
10,Savannah,1926,12.5,18.25,21.5833333333333,17.0833333333333
10,Savannah,1927,13.75,19.0833333333333,21.5833333333333,16.4166666666667
10,Savannah,1928,12.6666666666667,18.4166666666667,21.4166666666667,16.4166666666667
10,Savannah,1929,13.5833333333333,18.9166666666667,21.3333333333333,16.5
10,Savannah,1930,13.9166666666667,18.5,21.4166666666667,15.4166666666667
10,Savannah,1931,11.25,17.8333333333333,21.75,17.4166666666667
10,Savannah,1932,14.5833333333333,18.3333333333333,21.5833333333333,16.5
10,Savannah,1933,14,18.75,21.8333333333333,16.25
10,Savannah,1934,12.9166666666667,18.4166666666667,21.8333333333333,16.0833333333333
10,Savannah,1935,13.25,19.25,21.4166666666667,16.1666666666667
10,Savannah,1936,12.25,18.3333333333333,21.8333333333333,16.4166666666667
10,Savannah,1937,14.4166666666667,18.6666666666667,21.5833333333333,15.4166666666667
10,Savannah,1938,13.4166666666667,19,21.5,16.4166666666667
10,Savannah,1939,13.8333333333333,18.75,21.5,16.0833333333333
10,Savannah,1940,10.6666666666667,18,21.75,16.0833333333333
10,Savannah,1941,11.8333333333333,17.9166666666667,21.3333333333333,17.1666666666667
10,Savannah,1942,11.6666666666667,18.1666666666667,21.8333333333333,15.5833333333333
10,Savannah,1943,13,18.1666666666667,21.1666666666667,15.1666666666667
10,Savannah,1944,13.3333333333333,18.9166666666667,21.3333333333333,15.0833333333333
10,Savannah,1945,13.9166666666667,19,20.9166666666667,15.6666666666667
10,Savannah,1946,13,18.5,21.0833333333333,16.5
10,Savannah,1947,12.5,18.25,21.3333333333333,15.9166666666667
10,Savannah,1948,12.8333333333333,19.0833333333333,21.3333333333333,16.5
10,Savannah,1949,14.3333333333333,18.6666666666667,21.5,16.5833333333333
10,Savannah,1950,14.25,18.5,21.25,15.8333333333333
10,Savannah,1951,12.75,18.1666666666667,21.8333333333333,16.25
10,Savannah,1952,13.0833333333333,18.5,21.6666666666667,15.75
10,Savannah,1953,12.75,18.5,21.25,15.75
10,Savannah,1954,12.4166666666667,19,21.6666666666667,15.5
10,Savannah,1955,12.5,17.8333333333333,21.8333333333333,16.1666666666667
10,Savannah,1956,12.5833333333333,17.9166666666667,21.5833333333333,16.25
10,Savannah,1957,13.8333333333333,18.5,21.75,15.75
10,Savannah,1958,10.25,16.9166666666667,21.6666666666667,15
10,Savannah,1959,11.6666666666667,17.8333333333333,21.75,16.0833333333333
10,Savannah,1960,11.4166666666667,18.0833333333333,21.9166666666667,16.4166666666667
10,Savannah,1961,12.5,18,21.4166666666667,16.25
10,Savannah,1962,12.5,18.5,22.0833333333333,15.0833333333333
10,Savannah,1963,11.75,18.3333333333333,21.6666666666667,15.3333333333333
10,Savannah,1964,11.6666666666667,18.5,21,15.8333333333333
10,Savannah,1965,12.75,18.3333333333333,21.4166666666667,15.6666666666667
10,Savannah,1966,11.75,17.3333333333333,21.1666666666667,15.5833333333333
10,Savannah,1967,12.3333333333333,17.5833333333333,21,16
10,Savannah,1968,11,18,21.5833333333333,15.6666666666667
10,Savannah,1969,10.75,17.75,21.5,14.8333333333333
10,Savannah,1970,11,18.0833333333333,21.8333333333333,16
10,Savannah,1971,12.3333333333333,17.5,21.5833333333333,16.4166666666667
10,Savannah,1972,12.6666666666667,17.25,21.0833333333333,16.25
10,Savannah,1973,12.6666666666667,17.8333333333333,21.9166666666667,16.25
10,Savannah,1974,14.25,17.6666666666667,21.3333333333333,15.5833333333333
10,Savannah,1975,13.5833333333333,18.5833333333333,21.5833333333333,16.5833333333333
10,Savannah,1976,12.4166666666667,18,20.9166666666667,14.5833333333333
10,Savannah,1977,10.9166666666667,18.0833333333333,22.0833333333333,16
10,Savannah,1978,11.1666666666667,17.5833333333333,21.75,16.4166666666667
10,Savannah,1979,11.8333333333333,17.6666666666667,21.3333333333333,16
10,Savannah,1980,11.3333333333333,17.3333333333333,21.5833333333333,15.5833333333333
10,Savannah,1981,10.9166666666667,17.3333333333333,21.3333333333333,15.3333333333333
10,Savannah,1982,13,18.25,21.5,15.8333333333333
10,Savannah,1983,12.1666666666667,17.3333333333333,22.1666666666667,16.25
10,Savannah,1984,12.0833333333333,17.5,21.0833333333333,16.3333333333333
10,Savannah,1985,13,17.75,21.0833333333333,15.8333333333333
