gid,name,areasqkm,long_outlet,lat_outlet,ordre,pdam
45,Rappahannock,7025.77,-76.9182139854417,38.0431663276391,35,1
12,James,26780.72,-76.8978563228362,37.2281141110066,36,1
46,York,6927.38,-76.782132528935,37.5074806770657,37,1
9,Roanoke,24543.07,-76.7207971019963,35.9437258469624,38,1
47,Chowan,12458.86,-76.6891105151735,36.2723820431766,39,1
54,Patuxent,2401.05,-76.6705173847298,38.5594586875552,40,1
40,Perquimmans,568.44,-76.4397214955593,36.1816647207066,41,1
41,Pasquotank,890.16,-76.1801527643399,36.2910089070369,42,1
53,Chester-Sassafras,3372.41,-76.1495290604082,39.0973377061934,43,1
13,Susquehanna,71212.74,-76.0812895285516,39.5511740535483,44,1
37,Alligator,1519.11,-76.0366844746414,35.6624542080488,45,1
34,Transquaking,294.13,-76.0109477977893,38.3744819461209,46,1
35,Blackwater,500.26,-76.0109047269252,38.3565966733888,47,1
52,Choptank,2844.38,-75.9861691586157,38.5967438638352,48,1
51,Nanticoke,2142.39,-75.8612890694107,38.3694353397457,49,1
33,Wicomico,596.63,-75.8598924455485,38.2400474606153,50,1
58,Pokomoke-Western Lower Delmarva,2397.29,-75.6481310731537,37.9538845896276,51,1
14,Delaware,35239.83,-75.3013884900285,39.8497321514991,52,1
28,Mullica,1694.8,-74.4097961651648,39.5472613072392,53,1
62,Raritan,2862.94,-74.2760700523965,40.4962663793923,54,1
27,Metedeconk,234.65,-74.116252100513,40.0560473098006,55,1
26,Manasquan,211.5,-74.0980801033845,40.1224644906355,56,1
25,Shark,100.77895458,-74.010818459579,40.1875375570468,57,1
44,Hudson,34735.21,-73.9451025106576,41.2879327365844,58,1
24,Nissequogue,110.03007654,-73.2295076776254,40.9049744110648,59,1
57,Housatonic,5049.49,-73.1108278784223,41.1707615606671,60,1
21,Farm,66.20258274,-72.8586188494766,41.2488028401749,61,1
22,Hammonasset,126.39153152,-72.5466995167004,41.2626351311135,62,1
23,Menunketesuck,45.03750494,-72.4717782695425,41.2703469875451,63,1
15,Connecticut,29174.09,-72.3443734022539,41.2879566167935,64,1
43,Thames,4127.28,-72.0813526709553,41.3192283277741,65,1
36,Pawcatuck,783.91,-71.8587284504506,41.3207331271847,66,1
19,Blackstone-Providence,1314.44,-71.394049282611,41.8070911375075,67,1
31,Palmer,181.33,-71.2883156071925,41.7191808844642,68,1
84,St Lawrence,473515.455870142,-71.2514592254256,46.7586441066743,69,1
18,Sakonnet,144.71976046,-71.2209473866008,41.4725051082407,70,1
32,Taunton,1462.12,-71.1184654847485,41.8013390341006,71,1
20,Paskamanset,113.87054668,-71.0029099839194,41.5627044769003,72,1
4,Merrimack,12963.78,-70.8137629007522,42.8201767019634,73,1
63,Saco,4405.18,-70.3800324874386,43.4615894192541,74,1
17,Nonesuch,66.0069,-70.3276605568215,43.544895288487,75,1
16,Kennebec,24746.3,-69.8114840512903,44.0307826072371,76,1
30,Sheepscot,1007.38,-69.6235422587278,44.0320072032423,77,1
6,Penobscot,22313.89,-68.7927779180648,44.4922431066342,78,1
106,Manicouagan,45800,-68.282463014821,49.1830721148814,79,1
29,Pleasant,472.47,-67.7537483004799,44.5653192556577,80,1
67,St. Croix,4271.8,-67.1701889739528,45.1949833695871,81,1
68,Restigouche,12820,-66.7442455421173,48.001108582058,82,1
103,St Marguerite,6862.31197619699,-66.608721549525,50.1576836666073,83,1
66,St John,54986,-66.0618369819529,45.2639183840459,84,1
80,Tusket,2000,-66.0038114829035,43.8361334433411,85,1
107,George,41700,-65.9001017867297,58.6132431688499,86,1
64,Miramichi,14000,-65.5706564230523,46.9758537190176,87,1
76,Annapolis,2279,-65.489400676568,44.7546239520923,88,1
100,Richibucto,1088.5,-64.8411032115544,46.6964766974031,89,1
81,Mersey,3030,-64.6791044223094,44.0388110472936,90,1
65,Petitcodiac,1999,-64.6604963563116,45.9587004920393,91,1
75,Medway,2012,-64.6133850739989,44.1347172422293,92,1
82,Cornwallis,361,-64.3676089595062,45.1015618608634,93,1
69,LaHave,1700,-64.3487655764554,44.2762526133617,94,1
78,Maccan-Hebert-LaPlanche,1304,-64.2827973848823,45.7706337994887,95,1
77,Avon,1306,-64.1448250555968,45.0149967491404,96,1
79,Kennetcook,1125,-64.1212115823586,45.0496296897753,97,1
110,Romaine,14350,-63.8204387046597,50.2994155046405,98,1
101,Philip,726,-63.728526959108,45.8558476314525,99,1
71,Shubenacadie,1304,-63.4819847588174,45.3145758498337,100,1
74,Musquodoboit,1409,-63.1109579892519,44.7277935252589,101,1
72,John,1117,-63.0712258999245,45.7577777483581,102,1
73,St Mary's,1350,-61.9264135275239,45.0725963206144,103,1
104,Natashquan,16100,-61.6117622585923,50.1536928104822,104,1
70,Margaree,1375,-61.1085716425609,46.4407710875427,105,1
111,Kanairiktok,18177.8782991423,-60.6270086070208,55.049748240344,106,1
105,Churchill,79800,-60.1937771910176,53.3138179497015,107,1
83,Mira,2914,-59.9680418073987,46.0355788476948,108,1
109,Humber,7680,-57.9280456921027,48.9760951594807,109,1
112,Eagle,10300,-57.4303781263665,53.5855644229823,110,1
108,Exploits,11000,-55.3165845715951,49.0869205569691,111,1
102,Gander,6398,-54.4861256205093,49.2999487615785,112,1
