1145;962;718;670;526;415;351;323;267;243;100;33;0;17;43;63;95;177;225;265;308;340;398;416;428;445;455;473;603;711;731;750;794;806;858;941;981;1054;1057;1113;1161;1180;1241;1278;1279;1366;1402;1409;1450;1616;1624;1689;1699;1715;1740;1866;1890;1908;1927;1991;2041;2149;2176;2219;2503;2594;2651;2702;2770;3134;3292;3371;3444
1162;979;735;687;543;432;368;340;284;260;117;50;17;0;26;46;78;160;208;248;291;323;381;399;411;428;438;456;586;694;714;733;777;789;841;924;964;1037;1040;1096;1144;1163;1224;1261;1262;1349;1385;1392;1433;1599;1607;1672;1682;1698;1723;1849;1873;1891;1910;1974;2024;2132;2159;2202;2486;2577;2634;2685;2753;3117;3275;3354;3427
1188;1005;761;713;569;458;394;366;310;286;143;76;43;26;0;20;52;134;182;222;265;297;355;373;385;402;412;430;560;668;688;707;751;763;815;898;938;1011;1014;1070;1118;1137;1198;1235;1236;1323;1359;1366;1407;1573;1581;1646;1656;1672;1697;1823;1847;1865;1884;1948;1998;2106;2133;2176;2460;2551;2608;2659;2727;3091;3249;3328;3401
1208;1025;781;733;589;478;414;386;330;306;163;96;63;46;20;0;32;114;162;202;245;277;335;353;365;382;392;410;540;648;668;687;731;743;795;878;918;991;994;1050;1098;1117;1178;1215;1216;1303;1339;1346;1387;1553;1561;1626;1636;1652;1677;1803;1827;1845;1864;1928;1978;2086;2113;2156;2440;2531;2588;2639;2707;3071;3229;3308;3381
1240;1057;813;765;621;510;446;418;362;338;195;128;95;78;52;32;0;82;130;170;213;245;303;321;333;350;360;378;508;616;636;655;699;711;763;846;886;959;962;1018;1066;1085;1146;1183;1184;1271;1307;1314;1355;1521;1529;1594;1604;1620;1645;1771;1795;1813;1832;1896;1946;2054;2081;2124;2408;2499;2556;2607;2675;3039;3197;3276;3349
1322;1139;895;847;703;592;528;500;444;420;277;210;177;160;134;114;82;0;48;88;131;163;221;239;251;268;278;296;426;534;554;573;617;629;681;764;804;877;880;936;984;1003;1064;1101;1102;1189;1225;1232;1273;1439;1447;1512;1522;1538;1563;1689;1713;1731;1750;1814;1864;1972;1999;2042;2326;2417;2474;2525;2593;2957;3115;3194;3267
1370;1187;943;895;751;640;576;548;492;468;325;258;225;208;182;162;130;48;0;40;83;115;173;191;203;220;230;248;378;486;506;525;569;581;633;716;756;829;832;888;936;955;1016;1053;1054;1141;1177;1184;1225;1391;1399;1464;1474;1490;1515;1641;1665;1683;1702;1766;1816;1924;1951;1994;2278;2369;2426;2477;2545;2909;3067;3146;3219
1410;1227;983;935;791;680;616;588;532;508;365;298;265;248;222;202;170;88;40;0;43;75;133;151;163;180;190;208;338;446;466;485;529;541;593;676;716;789;792;848;896;915;976;1013;1014;1101;1137;1144;1185;1351;1359;1424;1434;1450;1475;1601;1625;1643;1662;1726;1776;1884;1911;1954;2238;2329;2386;2437;2505;2869;3027;3106;3179
1453;1270;1026;978;834;723;659;631;575;551;408;341;308;291;265;245;213;131;83;43;0;32;90;108;120;137;147;165;295;403;423;442;486;498;550;633;673;746;749;805;853;872;933;970;971;1058;1094;1101;1142;1308;1316;1381;1391;1407;1432;1558;1582;1600;1619;1683;1733;1841;1868;1911;2195;2286;2343;2394;2462;2826;2984;3063;3136
1485;1302;1058;1010;866;755;691;663;607;583;440;373;340;323;297;277;245;163;115;75;32;0;58;76;88;105;115;133;263;371;391;410;454;466;518;601;641;714;717;773;821;840;901;938;939;1026;1062;1069;1110;1276;1284;1349;1359;1375;1400;1526;1550;1568;1587;1651;1701;1809;1836;1879;2163;2254;2311;2362;2430;2794;2952;3031;3104
1543;1360;1116;1068;924;813;749;721;665;641;498;431;398;381;355;335;303;221;173;133;90;58;0;18;30;47;57;75;205;313;333;352;396;408;460;543;583;656;659;715;763;782;843;880;881;968;1004;1011;1052;1218;1226;1291;1301;1317;1342;1468;1492;1510;1529;1593;1643;1751;1778;1821;2105;2196;2253;2304;2372;2736;2894;2973;3046
1561;1378;1134;1086;942;831;767;739;683;659;516;449;416;399;373;353;321;239;191;151;108;76;18;0;12;29;39;57;187;295;315;334;378;390;442;525;565;638;641;697;745;764;825;862;863;950;986;993;1034;1200;1208;1273;1283;1299;1324;1450;1474;1492;1511;1575;1625;1733;1760;1803;2087;2178;2235;2286;2354;2718;2876;2955;3028
1573;1390;1146;1098;954;843;779;751;695;671;528;461;428;411;385;365;333;251;203;163;120;88;30;12;0;17;27;45;175;283;303;322;366;378;430;513;553;626;629;685;733;752;813;850;851;938;974;981;1022;1188;1196;1261;1271;1287;1312;1438;1462;1480;1499;1563;1613;1721;1748;1791;2075;2166;2223;2274;2342;2706;2864;2943;3016
1590;1407;1163;1115;971;860;796;768;712;688;545;478;445;428;402;382;350;268;220;180;137;105;47;29;17;0;10;28;158;266;286;305;349;361;413;496;536;609;612;668;716;735;796;833;834;921;957;964;1005;1171;1179;1244;1254;1270;1295;1421;1445;1463;1482;1546;1596;1704;1731;1774;2058;2149;2206;2257;2325;2689;2847;2926;2999
1600;1417;1173;1125;981;870;806;778;722;698;555;488;455;438;412;392;360;278;230;190;147;115;57;39;27;10;0;18;148;256;276;295;339;351;403;486;526;599;602;658;706;725;786;823;824;911;947;954;995;1161;1169;1234;1244;1260;1285;1411;1435;1453;1472;1536;1586;1694;1721;1764;2048;2139;2196;2247;2315;2679;2837;2916;2989
1618;1435;1191;1143;999;888;824;796;740;716;573;506;473;456;430;410;378;296;248;208;165;133;75;57;45;28;18;0;130;238;258;277;321;333;385;468;508;581;584;640;688;707;768;805;806;893;929;936;977;1143;1151;1216;1226;1242;1267;1393;1417;1435;1454;1518;1568;1676;1703;1746;2030;2121;2178;2229;2297;2661;2819;2898;2971
1748;1565;1321;1273;1129;1018;954;926;870;846;703;636;603;586;560;540;508;426;378;338;295;263;205;187;175;158;148;130;0;108;128;147;191;203;255;338;378;451;454;510;558;577;638;675;676;763;799;806;847;1013;1021;1086;1096;1112;1137;1263;1287;1305;1324;1388;1438;1546;1573;1616;1900;1991;2048;2099;2167;2531;2689;2768;2841
1856;1673;1429;1381;1237;1126;1062;1034;978;954;811;744;711;694;668;648;616;534;486;446;403;371;313;295;283;266;256;238;108;0;20;39;83;95;147;230;270;343;346;402;450;469;530;567;568;655;691;698;739;905;913;978;988;1004;1029;1155;1179;1197;1216;1280;1330;1438;1465;1508;1792;1883;1940;1991;2059;2423;2581;2660;2733
1876;1693;1449;1401;1257;1146;1082;1054;998;974;831;764;731;714;688;668;636;554;506;466;423;391;333;315;303;286;276;258;128;20;0;19;63;75;127;210;250;323;326;382;430;449;510;547;548;635;671;678;719;885;893;958;968;984;1009;1135;1159;1177;1196;1260;1310;1418;1445;1488;1772;1863;1920;1971;2039;2403;2561;2640;2713
1895;1712;1468;1420;1276;1165;1101;1073;1017;993;850;783;750;733;707;687;655;573;525;485;442;410;352;334;322;305;295;277;147;39;19;0;44;56;108;191;231;304;307;363;411;430;491;528;529;616;652;659;700;866;874;939;949;965;990;1116;1140;1158;1177;1241;1291;1399;1426;1469;1753;1844;1901;1952;2020;2384;2542;2621;2694
1939;1756;1512;1464;1320;1209;1145;1117;1061;1037;894;827;794;777;751;731;699;617;569;529;486;454;396;378;366;349;339;321;191;83;63;44;0;12;64;147;187;260;263;319;367;386;447;484;485;572;608;615;656;822;830;895;905;921;946;1072;1096;1114;1133;1197;1247;1355;1382;1425;1709;1800;1857;1908;1976;2340;2498;2577;2650
1951;1768;1524;1476;1332;1221;1157;1129;1073;1049;906;839;806;789;763;743;711;629;581;541;498;466;408;390;378;361;351;333;203;95;75;56;12;0;52;135;175;248;251;307;355;374;435;472;473;560;596;603;644;810;818;883;893;909;934;1060;1084;1102;1121;1185;1235;1343;1370;1413;1697;1788;1845;1896;1964;2328;2486;2565;2638
2003;1820;1576;1528;1384;1273;1209;1181;1125;1101;958;891;858;841;815;795;763;681;633;593;550;518;460;442;430;413;403;385;255;147;127;108;64;52;0;83;123;196;199;255;303;322;383;420;421;508;544;551;592;758;766;831;841;857;882;1008;1032;1050;1069;1133;1183;1291;1318;1361;1645;1736;1793;1844;1912;2276;2434;2513;2586
