;NOM;ID;Long;Lat;Year;Winter;Spring;summer;Autumn
108;Leyre;87;-0.75;44.75;1802;10.8478634;16.13125055;21.18066684;13.69873417
109;Lima;88;-8.75;41.75;1802;9.699079109;14.340861;19.89746094;12.23048817
110;Loire;89;-1.75;47.25;1802;7.566385905;14.15767693;19.49963749;10.54699707
111;Mandeo;313;-8.25;43.25;1802;11.75158321;14.37333818;18.59331258;14.51383556
112;Masma;312;-7.25;43.75;1802;11.1922182;14.18814457;18.59494666;14.03218772
113;Meuse;96;5.5;51.75;1802;4.440815319;13.06289303;18.43088693;8.060631954
114;Minho;98;-8.25;42.25;1802;9.699079109;14.340861;19.89746094;12.23048817
115;Mondego;100;-8.25;41.25;1802;10.67191199;15.79515862;21.74330648;13.3003725
116;Nalon_Narcea;278;-6.25;43.75;1802;11.29150021;14.39355376;18.89823128;14.25630327
117;Nansa;292;-4.25;43.25;1802;4.283385306;10.24005774;15.1464742;6.7069286
118;Navia;103;-6.25;43.25;1802;11.1922182;14.18814457;18.59494666;14.03218772
119;Nervion;286;-3.25;43.25;1802;5.127417362;11.26612623;16.1364071;7.405676639
120;Nivelle;110;-1.75;43.25;1802;4.792089289;11.55380804;16.6441151;7.156072443
121;Odet;112;-4.25;48.25;1802;8.606478604;12.90419885;17.49279323;11.68520008
122;Oria;285;-2.25;43.25;1802;5.127417362;11.26612623;16.1364071;7.405676639
123;Orne;116;-0.25;49.25;1802;6.758378462;12.95171287;18.22304281;10.38011031
124;Otra;117;7.75;58.25;1802;1.782507694;9.845048384;16.14298688;6.45211607
125;Pas;291;-3.75;43.25;1802;11.80496863;15.00991636;19.59674442;14.86858668
126;Rance;124;-1.75;48.75;1802;5.677861069;12.2919478;17.41498912;8.589176987
127;Rhine;125;5.5;51.75;1802;5.225951224;12.3341721;18.31437267;9.587588224
128;Sado;128;-8.75;38.25;1802;11.67256673;17.17756237;23.25135202;14.58092429
129;Scorff;133;-3.25;47.75;1802;6.987771699;12.50595925;17.39588512;10.01198971
130;Seine;136;0.75;49.25;1802;6.758378462;12.95171287;18.22304281;10.38011031
131;Sella;280;-5.25;43.25;1802;11.29150021;14.39355376;18.89823128;14.25630327
132;Selune;137;-1.25;48.75;1802;5.677861069;12.2919478;17.41498912;8.589176987
133;Seudre;138;-0.75;45.75;1802;9.818679347;15.15386038;20.37257709;12.84755268
134;Sevre_Niortaise;140;-1.25;46.25;1802;7.566385905;14.15767693;19.49963749;10.54699707
135;Sienne;319;-1.75;48.75;1802;5.677861069;12.2919478;17.41498912;8.589176987
136;Somme;146;1.75;50.25;1802;5.242026589;12.75550241;17.98976921;8.570819277
137;Tagus;151;-8.75;39.25;1802;11.67256673;17.17756237;23.25135202;14.58092429
138;Touques;162;0.75;49.25;1802;6.758378462;12.95171287;18.22304281;10.38011031
139;Trieux;165;-3.25;48.75;1802;6.987771699;12.50595925;17.39588512;10.01198971
