lien;site;date;saison;p;Temp;Q;DL;deltaDL;deltaT;deltaQ;Temp1;Q1;DL1;deltaDL1;deltaT1;deltaQ1;juvenileSurvival
Garonne_2011;Garonne;2011-02-13;2011;0.238235666183755;0.194719471947195;0.278233386260325;0.227150875429337;0.645220588235293;0.627450980392157;0.240780970929683;6.4;4.97673374242057;10.3763888888889;0.0466666666666669;0.100000000000001;-0.18805223150294;0.00315832474478599
Garonne_2011;Garonne;2011-02-14;2011;0.112554989755154;0.204620462046205;0.267646909957238;0.234229705956271;0.647058823529417;0.647058823529412;0.289642544886246;6.7;4.92725368515721;10.4233333333333;0.0469444444444456;0.3;-0.0494800572633691;0.00326449530550939
Garonne_2011;Garonne;2011-02-15;2011;0.682527516735718;0.214521452145215;0.317241886801615;0.241308536483204;0.647058823529405;0.647058823529412;0.388824543446074;7;5.15905529921453;10.4702777777778;0.0469444444444438;0.3;0.231801614057324;0.0038358215802571
Garonne_2011;Garonne;2011-02-16;2011;0.766693145036697;0.227722772277228;0.368399969236773;0.248471140152467;0.650735294117641;0.656862745098039;0.39140061843838;7.4;5.39816270151775;10.5177777777778;0.0474999999999994;0.4;0.239107402303223;0.00401907445640894
Garonne_2011;Garonne;2011-02-17;2011;0.71859627449885;0.234323432343234;0.343803990402667;0.255675630392896;0.652573529411764;0.637254901960784;0.266554194785247;7.6;5.28320372873799;10.5655555555556;0.0477777777777781;0.199999999999999;-0.114958972779764;0.00474974237461066
Garonne_2011;Garonne;2011-02-18;2011;0.983600327977911;0.240924092409241;0.339415028155116;0.26292200720449;0.654411764705888;0.637254901960784;0.299856353260473;7.8;5.26269018890489;10.6136111111111;0.0480555555555569;0.2;-0.0205135398331029;0.00500847716664702
Garonne_2011;Garonne;2011-02-19;2011;0.793436508625746;0.244224422442244;0.348104726301457;0.27021027058725;0.656249999999989;0.627450980392157;0.321410629678043;7.9;5.30330490805908;10.6619444444444;0.048333333333332;0.100000000000001;0.0406147191541901;0.00531566900458853
Garonne_2011;Garonne;2011-02-20;2011;0.0332142058759928;0.254125412541254;0.340520738145026;0.277456647398844;0.654411764705888;0.647058823529412;0.294590793216305;8.2;5.26785815906333;10.71;0.0480555555555569;0.299999999999999;-0.0354467489957475;0.00633910463832378
Garonne_2011;Garonne;2011-02-21;2011;0.235143810510635;0.254125412541254;0.362510944067635;0.284828683923934;0.659926470588225;0.617647058823529;0.343330521507148;8.2;5.37063802812766;10.7588888888889;0.0488888888888876;0;0.102779869064334;0.00672533040907325
Garonne_2011;Garonne;2011-02-22;2011;0.0595755612011999;0.264026402640264;0.442180110941966;0.292200720449024;0.659926470588236;0.647058823529412;0.438388289687465;8.5;5.74300318780948;10.8077777777778;0.0488888888888894;0.300000000000001;0.37236515968182;0.00712514715731383
Garonne_2011;Garonne;2011-02-23;2011;0.215876325964928;0.264026402640264;0.590482004824008;0.299614643545279;0.661764705882348;0.617647058823529;0.55149840377122;8.5;6.43615036836943;10.8569444444444;0.0491666666666664;0;0.693147180559945;0.00850293643138033
Garonne_2011;Garonne;2011-02-24;2011;0.560196866281331;0.270627062706271;0.594220779032677;0.307028566641535;0.661764705882348;0.637254901960784;0.313251263209227;8.7;6.45362499889269;10.9061111111111;0.0491666666666664;0.199999999999999;0.0174746305232638;0.00891929062204061
Garonne_2011;Garonne;2011-02-25;2011;0.878321649739519;0.283828382838284;0.56502449388794;0.314484376308955;0.663602941176472;0.656862745098039;0.25897266343276;9.1;6.31716468674728;10.9555555555556;0.0494444444444451;0.4;-0.136460312145408;0.00947964493935799
Garonne_2011;Garonne;2011-02-26;2011;0.224233446409926;0.287128712871287;0.524776572607014;0.321982072547541;0.665441176470584;0.627450980392157;0.240759022817313;9.2;6.12905021006055;11.0052777777778;0.049722222222222;0.0999999999999996;-0.188114476686739;0.0112352865380033
Garonne_2011;Garonne;2011-02-27;2011;0.411845442606136;0.283828382838284;0.490470556016129;0.329479768786127;0.665441176470584;0.607843137254902;0.250551574369138;9.1;5.96870755998537;11.055;0.049722222222222;-0.0999999999999996;-0.160342650075179;0.0120049061680618
Garonne_2011;Garonne;2011-02-28;2011;0.0976673169061542;0.283828382838284;0.502182427302829;0.337019351595878;0.667279411764708;0.617647058823529;0.326391319847157;9.1;6.02344759296103;11.105;0.0500000000000007;0;0.0547400329756673;0.0127737036417872
Garonne_2011;Garonne;2011-03-01;2011;0.761846291599795;0.267326732673267;0.530298283111055;0.344600820976795;0.66911764705882;0.568627450980392;0.353425894190233;8.6;6.15485809401642;11.1552777777778;0.0502777777777776;-0.5;0.131410501055385;0.0136791649524637
Garonne_2011;Garonne;2011-03-02;2011;0.394393066409975;0.244224422442244;0.511805667605284;0.352140403786546;0.667279411764696;0.549019607843137;0.276612838124382;7.9;6.06842558824411;11.2052777777778;0.0499999999999989;-0.699999999999999;-0.086432505772307;0.0146033717340455
Garonne_2011;Garonne;2011-03-03;2011;0.653371199965477;0.221122112211221;0.482669270727262;0.359721873167463;0.669117647058832;0.549019607843137;0.259071362245639;7.2;5.93224518744801;11.2555555555556;0.0502777777777794;-0.7;-0.1361804007961;0.0174149860374198
Garonne_2011;Garonne;2011-03-04;2011;0.5454791134689;0.211221122112211;0.467989000519761;0.367303342548379;0.66911764705882;0.588235294117647;0.282895770923562;6.9;5.8636311755981;11.3058333333333;0.0502777777777776;-0.3;-0.0686140118499141;0.0184814194679253
Garonne_2011;Garonne;2011-03-05;2011;0.601447668159381;0.227722772277228;0.444227537158084;0.374926698500461;0.670955882352932;0.666666666666667;0.267929517381427;7.4;5.75257263882563;11.3563888888889;0.0505555555555546;0.5;-0.111058536772464;0.0217003152571434
Garonne_2011;Garonne;2011-03-06;2011;0.630902724806219;0.244224422442244;0.428737231723887;0.382591941023708;0.672794117647056;0.666666666666667;0.281560792977934;7.9;5.68017260901707;11.4072222222222;0.0508333333333333;0.5;-0.0724000298085654;0.0230712370993316
Garonne_2011;Garonne;2011-03-07;2011;0.0392854542005807;0.254125412541254;0.41826184698195;0.390173410404624;0.66911764705882;0.647058823529412;0.289825629249979;8.2;5.63121178182137;11.4575;0.0502777777777776;0.299999999999999;-0.0489608271957023;0.027513185260782
